NAME,day,percent_anxious
"Anne Arundel County, Maryland",2022-05-19,14.799449
"Baltimore County, Maryland",2022-05-01,15.6352842
"Baltimore County, Maryland",2022-05-03,12.9128194
"Baltimore County, Maryland",2022-05-04,14.2031337
"Baltimore County, Maryland",2022-05-05,16.3719931
"Baltimore County, Maryland",2022-05-06,17.0369737
"Baltimore County, Maryland",2022-05-07,12.5415685
"Baltimore County, Maryland",2022-05-08,12.4010081
"Baltimore County, Maryland",2022-05-09,11.3582503
"Baltimore County, Maryland",2022-05-10,9.9836315
"Baltimore County, Maryland",2022-05-11,8.3117342
"Baltimore County, Maryland",2022-05-12,8.0253509
"Baltimore County, Maryland",2022-05-13,10.2815659
"Baltimore County, Maryland",2022-05-14,16.7280803
"Baltimore County, Maryland",2022-05-15,15.6889175
"Baltimore County, Maryland",2022-05-16,17.5864599
"Baltimore County, Maryland",2022-05-17,15.6344798
"Baltimore County, Maryland",2022-05-18,15.3933996
"Baltimore County, Maryland",2022-05-19,14.8305341
"Baltimore County, Maryland",2022-05-20,12.3762631
"Baltimore County, Maryland",2022-05-21,5.6419364
"Baltimore County, Maryland",2022-05-22,5.9995577
"Baltimore County, Maryland",2022-05-23,4.5901957
"Baltimore County, Maryland",2022-05-24,7.3720406
"Baltimore County, Maryland",2022-05-25,8.9937431
"Baltimore County, Maryland",2022-05-28,6.8330164
"Baltimore County, Maryland",2022-05-29,7.0410244
"Baltimore County, Maryland",2022-05-30,10.4770339
"Baltimore County, Maryland",2022-05-31,9.4585037
"Baltimore County, Maryland",2022-06-01,8.128634
"Baltimore County, Maryland",2022-06-02,9.6705751
"Baltimore County, Maryland",2022-06-03,10.1589954
"Baltimore County, Maryland",2022-06-04,11.5314048
"Baltimore County, Maryland",2022-06-05,11.3815577
"Baltimore County, Maryland",2022-06-06,9.9534913
"Baltimore County, Maryland",2022-06-08,16.2200504
"Baltimore County, Maryland",2022-06-09,14.3936076
"Baltimore County, Maryland",2022-06-10,16.0993641
"Baltimore County, Maryland",2022-06-15,14.0614402
"Baltimore County, Maryland",2022-06-16,13.6010511
"Baltimore County, Maryland",2022-06-17,13.9610357
"Baltimore County, Maryland",2022-06-18,11.6743286
"Baltimore County, Maryland",2022-06-19,10.3263452
"Baltimore County, Maryland",2022-06-20,9.722487
"Baltimore County, Maryland",2022-06-21,9.6807465
"Montgomery County, Maryland",2022-05-01,12.6574843
"Montgomery County, Maryland",2022-05-02,10.7456872
"Montgomery County, Maryland",2022-05-03,11.0725916
"Montgomery County, Maryland",2022-05-04,10.6491868
"Montgomery County, Maryland",2022-05-05,10.5550677
"Montgomery County, Maryland",2022-05-06,10.2479464
"Montgomery County, Maryland",2022-05-07,9.3612245
"Montgomery County, Maryland",2022-05-08,9.4934489
"Montgomery County, Maryland",2022-05-09,11.4087009
"Montgomery County, Maryland",2022-05-10,10.7822305
"Montgomery County, Maryland",2022-05-11,11.5641634
"Montgomery County, Maryland",2022-05-12,13.1024363
"Montgomery County, Maryland",2022-05-13,12.4875998
"Montgomery County, Maryland",2022-05-14,11.3453694
"Montgomery County, Maryland",2022-05-15,9.601428
"Montgomery County, Maryland",2022-05-16,8.5616603
"Montgomery County, Maryland",2022-05-17,9.648357
"Montgomery County, Maryland",2022-05-18,9.6501321
"Montgomery County, Maryland",2022-05-19,13.0386274
"Montgomery County, Maryland",2022-05-20,15.0836905
"Montgomery County, Maryland",2022-05-21,19.0852016
"Montgomery County, Maryland",2022-05-22,19.5446981
"Montgomery County, Maryland",2022-05-23,19.2598677
"Montgomery County, Maryland",2022-05-24,16.5216379
"Montgomery County, Maryland",2022-05-25,18.0246491
"Montgomery County, Maryland",2022-05-26,12.4636068
"Montgomery County, Maryland",2022-05-27,13.4644162
"Montgomery County, Maryland",2022-05-28,9.7884552
"Montgomery County, Maryland",2022-05-29,7.9047444
"Montgomery County, Maryland",2022-05-30,7.9577321
"Montgomery County, Maryland",2022-05-31,9.1544336
"Montgomery County, Maryland",2022-06-01,8.6959183
"Montgomery County, Maryland",2022-06-02,9.6364421
"Montgomery County, Maryland",2022-06-03,6.7274253
"Montgomery County, Maryland",2022-06-04,7.8447261
"Montgomery County, Maryland",2022-06-05,8.2330063
"Montgomery County, Maryland",2022-06-06,6.8439045
"Montgomery County, Maryland",2022-06-07,7.4865565
"Montgomery County, Maryland",2022-06-08,7.9095611
"Montgomery County, Maryland",2022-06-09,7.7613229
"Montgomery County, Maryland",2022-06-10,8.4366582
"Montgomery County, Maryland",2022-06-11,6.9992568
"Montgomery County, Maryland",2022-06-12,8.4059026
"Montgomery County, Maryland",2022-06-13,9.568804
"Montgomery County, Maryland",2022-06-14,8.5060078
"Montgomery County, Maryland",2022-06-15,7.3717054
"Montgomery County, Maryland",2022-06-16,7.2272394
"Montgomery County, Maryland",2022-06-17,7.0550456
"Montgomery County, Maryland",2022-06-18,7.4648099
"Montgomery County, Maryland",2022-06-19,7.5498234
"Montgomery County, Maryland",2022-06-20,6.8608761
"Montgomery County, Maryland",2022-06-21,6.71015
"Montgomery County, Maryland",2022-06-22,9.7833424
"Montgomery County, Maryland",2022-06-23,9.7383998
"Montgomery County, Maryland",2022-06-24,10.9020529
"Montgomery County, Maryland",2022-06-25,14.4443031
"Prince George's County, Maryland",2022-05-01,18.9313865
"Prince George's County, Maryland",2022-05-02,15.8663174
"Prince George's County, Maryland",2022-05-03,16.6748679
"Prince George's County, Maryland",2022-05-04,12.4852756
"Prince George's County, Maryland",2022-05-05,10.4498774
"Prince George's County, Maryland",2022-05-06,10.3244547
"Prince George's County, Maryland",2022-05-07,9.6603805
"Prince George's County, Maryland",2022-05-08,9.2577581
"Prince George's County, Maryland",2022-05-09,8.6686164
"Prince George's County, Maryland",2022-05-10,7.354569
"Prince George's County, Maryland",2022-05-11,10.637628
"Prince George's County, Maryland",2022-05-12,10.8472691
"Prince George's County, Maryland",2022-05-13,15.4042694
"Prince George's County, Maryland",2022-05-14,15.2589565
"Prince George's County, Maryland",2022-05-15,15.4264995
"Prince George's County, Maryland",2022-05-16,16.4651647
"Prince George's County, Maryland",2022-05-17,18.4167249
"Prince George's County, Maryland",2022-05-18,14.191697
"Prince George's County, Maryland",2022-05-19,15.66938
"Prince George's County, Maryland",2022-05-20,13.8218847
"Prince George's County, Maryland",2022-05-21,14.65973
"Prince George's County, Maryland",2022-05-22,14.6768367
"Prince George's County, Maryland",2022-05-23,16.3064427
"Prince George's County, Maryland",2022-05-24,17.7249185
"Prince George's County, Maryland",2022-05-25,16.5455734
"Prince George's County, Maryland",2022-05-26,16.2560998
"Prince George's County, Maryland",2022-05-27,15.363003
"Prince George's County, Maryland",2022-05-28,14.1823105
"Prince George's County, Maryland",2022-05-29,14.5057703
"Prince George's County, Maryland",2022-05-30,14.0459994
"Prince George's County, Maryland",2022-05-31,11.006258
"Prince George's County, Maryland",2022-06-01,18.1119522
"Prince George's County, Maryland",2022-06-02,16.9079308
"Prince George's County, Maryland",2022-06-03,14.1164854
"Prince George's County, Maryland",2022-06-04,16.2508105
"Prince George's County, Maryland",2022-06-05,14.7416011
"Prince George's County, Maryland",2022-06-06,13.5964521
"Prince George's County, Maryland",2022-06-07,17.1913825
"Prince George's County, Maryland",2022-06-08,10.1308206
"Prince George's County, Maryland",2022-06-09,11.5027576
"Prince George's County, Maryland",2022-06-10,13.5400342
"Prince George's County, Maryland",2022-06-11,11.1275789
"Prince George's County, Maryland",2022-06-12,12.7871825
"Prince George's County, Maryland",2022-06-13,13.4498492
"Prince George's County, Maryland",2022-06-14,12.0061846
"Prince George's County, Maryland",2022-06-15,11.3936217
"Prince George's County, Maryland",2022-06-16,12.0534358
"Prince George's County, Maryland",2022-06-17,9.8035146
"Prince George's County, Maryland",2022-06-18,9.9115632
"Prince George's County, Maryland",2022-06-19,7.6711768
"Prince George's County, Maryland",2022-06-20,8.30599
"Prince George's County, Maryland",2022-06-21,11.4700425
"Prince George's County, Maryland",2022-06-22,12.1654754
"Prince George's County, Maryland",2022-06-23,12.6708899
"Prince George's County, Maryland",2022-06-24,13.9175317
"Prince George's County, Maryland",2022-06-25,14.1833231
